E001 University Visvesvaraya College of Engineering. Bangalore,AI ArtificialIntelligence,3617,4900,3279,4202,4257
college,branch,cutoff_2019,cutoff_2020,cutoff_2021,cutoff_2022,cutoff_2023
E001 University Visvesvaraya College of Engineering. Bangalore,CE Civil,41858,22451,25682,46143,54199
E001 University Visvesvaraya College of Engineering. Bangalore,CS Computers,2197,1395,1459,1969,2381
E001 University Visvesvaraya College of Engineering. Bangalore,EC Electronics,5706,7767,5142,6666,6878
E001 University Visvesvaraya College of Engineering. Bangalore,EE Electrical,16043,16065,12903,15937,17701
E001 University Visvesvaraya College of Engineering. Bangalore,IE Info.Science,3545,2572,2557,3103,3453
E001 University Visvesvaraya College of Engineering. Bangalore,ME Mechanical,53701,52036,29417,57138,50201
E002 S K S J T Institute of Engineering.Bangalore,CE Civil,63864,82283,37788,79785,92293
E002 S K S J T Institute of Engineering.Bangalore,CS Computers,11050,8804,9320,10946,11659
E002 S K S J T Institute of Engineering.Bangalore,EC Electronics,15691,26511,17740,23106,24842
E002 S K S J T Institute of Engineering.Bangalore,ST Silk Tech.,61180,58251,42349,67508,123325
E002 S K S J T Institute of Engineering.Bangalore,TX Textiles,71537,109657,49909,106675,147111
E003 B M S College of Engineering Basavanagudi.Bangalore,CE Civil,30456,26280,40312,17425,45354
E003 B M S College of Engineering Basavanagudi.Bangalore,EC Electronics,1989,1252,1732,1247,1898
E003 B M S College of Engineering Basavanagudi.Bangalore,EE Electrical,12905,8246,10007,5621,10376
E003 B M S College of Engineering Basavanagudi.Bangalore,IM Ind. Engg.Mgmt.,28675,27604,26774,24856,43625
E003 B M S College of Engineering Basavanagudi.Bangalore,ME Mechanical,3454,5744,12305,10079,28283
E004 Dr. Ambedkar Institute Of Technology Bangalore,CE Civil,71409,43144,48594,89354,93819
E004 Dr. Ambedkar Institute Of Technology Bangalore,CS Computers,5976,7631,5829,7278,7369
E004 Dr. Ambedkar Institute Of Technology Bangalore,EC Electronics,18626,16238,14320,17921,18263
E004 Dr. Ambedkar Institute Of Technology Bangalore,EE Electrical,28980,40793,24450,36725,35215
E004 Dr. Ambedkar Institute Of Technology Bangalore,EI Elec. Inst.Engg,48148,44496,42176,53334,50524
E004 Dr. Ambedkar Institute Of Technology Bangalore,ET Elec.Telecommn. Engg.,40989,39507,30910,42943,36712
E004 Dr. Ambedkar Institute Of Technology Bangalore,IM Ind. Engg.Mgmt.,78885,62300,43229,68060,85238
E004 Dr. Ambedkar Institute Of Technology Bangalore,ME Mechanical,104867,101976,62928,94026,93323
E005 R.V.College of Engineering Bangalore,AI ArtificialIntelligence,630,249,209,336,558
E005 R.V.College of Engineering Bangalore,BT Bio Technology,5949,4035,2503,4914,3327
E005 R.V.College of Engineering Bangalore,CE Civil,20135,14773,10651,20624,17630
E005 R.V.College of Engineering Bangalore,CH Chemical,8211,6050,3079,9725,9856
E005 R.V.College of Engineering Bangalore,CS Computers,234,119,93,158,242
E005 R.V.College of Engineering Bangalore,CY CS- CyberSecurity,178,785,904,368,620
E005 R.V.College of Engineering Bangalore,DS Comp. Sc. Engg-Data Sc.,826,596,1028,287,456
E005 R.V.College of Engineering Bangalore,EC Electronics,707,712,440,776,761
E005 R.V.College of Engineering Bangalore,EE Electrical,2342,2035,1028,2095,2663
E005 R.V.College of Engineering Bangalore,EI Elec. Inst.Engg,3287,2693,2188,4347,3769
E005 R.V.College of Engineering Bangalore,ET Elec.Telecommn. Engg.,2748,2578,1299,2795,2397
E005 R.V.College of Engineering Bangalore,IE Info.Science,114,285,158,268,360
E005 R.V.College of Engineering Bangalore,IM Ind. Engg.Mgmt.,19972,12738,196,22207,16624
E005 R.V.College of Engineering Bangalore,ME Mechanical,6066,5747,2851,7320,6023
E005 R.V.College of Engineering Bangalore,SE Aero SpaceEngg.,2083,2239,1432,2153,2507
E005 R.V.College of Engineering Bangalore,"AD ArtificialIntel, Data Sc",1944,1538,1004,2233,2368
E007 Dayananda Sagar College of Engineering Bangalore,AI ArtificialIntelligence,2190,2393,2713,4830,4518
E007 Dayananda Sagar College of Engineering Bangalore,AE Aeronaut.Engg,6785,8976,7894,14957,12712
E007 Dayananda Sagar College of Engineering Bangalore,AU Automobile,40590,42908,45305,58059,52825
E007 Dayananda Sagar College of Engineering Bangalore,BT Bio Technology,9876,13090,9609,18131,14656
E007 Dayananda Sagar College of Engineering Bangalore,CD Computer Sc.and Design,3423,3564,3250,6744,7697
E007 Dayananda Sagar College of Engineering Bangalore,CE Civil,38769,32323,41165,77366,83521
E007 Dayananda Sagar College of Engineering Bangalore,CH Chemical,20890,25890,24201,39485,57295
E007 Dayananda Sagar College of Engineering Bangalore,CS Computers,2002,2908,2043,3100,3293
E007 Dayananda Sagar College of Engineering Bangalore,EC Electronics,6754,7894,6299,9179,8840
E007 Dayananda Sagar College of Engineering Bangalore,EE Electrical,12098,18905,15496,27286,23961
E007 Dayananda Sagar College of Engineering Bangalore,EI Elec. Inst.Engg,28903,29038,29472,30561,29211
E007 Dayananda Sagar College of Engineering Bangalore,ET Elec. Telecommn. Engg.,32432,28973,26578,26912,21170
E007 Dayananda Sagar College of Engineering Bangalore,IE Info.Science,2100,2989,2910,4668,4803
E007 Dayananda Sagar College of Engineering Bangalore,MD Med.Elect.,22098,18903,20860,37604,59379
E007 Dayananda Sagar College of Engineering Bangalore,ME Mechanical,28920,29080,31594,69265,51235
E008 Bangalore Institute of Technology Bangalore,AI ArtificialIntelligence,2110,3890,4253,6629,5459
E008 Bangalore Institute of Technology Bangalore,CE Civil,68678,57400,57600,86418,86971
E008 Bangalore Institute of Technology Bangalore,CS Computers,1908,2343,2303,3747,4368
E008 Bangalore Institute of Technology Bangalore,EC Electronics,5647,7890,6563,10265,10712
E008 Bangalore Institute of Technology Bangalore,EE Electrical,12903,16930,17958,23990,26921
E008 Bangalore Institute of Technology Bangalore,EI Elec. Inst.Engg,32098,30938,27595,37332,30235
E008 Bangalore Institute of Technology Bangalore,ET Elec.Telecommn. Engg.,12903,17893,15905,24817,22883
E008 Bangalore Institute of Technology Bangalore,IE Info.Science,2010,2390,3743,5573,6473
E008 Bangalore Institute of Technology Bangalore,IM Ind. Engg.Mgmt.,5458,54903,55775,58324,61234
E008 Bangalore Institute of Technology Bangalore,ME Mechanical,58970,63980,60979,72953,70737
E009 P E S University (Ring Road Campus) Bangalore,BT Bio Technology,6732,4321,4275,7692,3170
E009 P E S University (Ring Road Campus) Bangalore,CS Computers,321,637,450,787,540
E009 P E S University (Ring Road Campus) Bangalore,EC Electronics,2193,1290,1560,3366,1890
E009 P E S University (Ring Road Campus) Bangalore,EE Electrical,4390,2389,4465,7923,4323
